set,user,day,scenario,score,malicious_records
слой 0.30 (только dev_spike),CCL0068,2011-01-24,2,0.3,14
слой 0.30 (только dev_spike),AKR0057,2010-11-29,2,0.3,14
слой 0.30 (только dev_spike),AKR0057,2010-11-16,2,0.3,14
слой 0.30 (только dev_spike),AKR0057,2010-11-12,2,0.3,14
слой 0.30 (только dev_spike),AKR0057,2010-11-01,2,0.3,14
слой 0.30 (только dev_spike),ABC0174,2010-12-21,2,0.3,14
слой 0.30 (только dev_spike),ABC0174,2010-12-06,2,0.3,14
слой 0.30 (только dev_spike),VSS0154,2010-10-29,2,0.3,12
слой 0.30 (только dev_spike),VSS0154,2010-10-05,2,0.3,12
слой 0.30 (только dev_spike),TNM0961,2010-12-02,2,0.3,12
слой 0.30 (только dev_spike),TNM0961,2010-11-22,2,0.3,12
слой 0.30 (только dev_spike),NWT0098,2011-04-01,2,0.3,12
слой 0.30 (только dev_spike),NWT0098,2011-03-25,2,0.3,12
слой 0.30 (только dev_spike),NWT0098,2011-03-16,2,0.3,12
слой 0.30 (только dev_spike),MDH0580,2011-02-28,2,0.3,12
слой 0.30 (только dev_spike),MDH0580,2011-02-17,2,0.3,12
слой 0.30 (только dev_spike),MDH0580,2011-02-08,2,0.3,12
слой 0.30 (только dev_spike),KRL0501,2011-01-19,2,0.3,12
слой 0.30 (только dev_spike),KRL0501,2010-12-30,2,0.3,12
слой 0.30 (только dev_spike),KRL0501,2010-12-27,2,0.3,12
слой 0.30 (только dev_spike),IKR0401,2011-02-07,2,0.3,12
слой 0.30 (только dev_spike),IKR0401,2011-02-03,2,0.3,12
слой 0.30 (только dev_spike),IKR0401,2011-02-02,2,0.3,12
слой 0.30 (только dev_spike),IKR0401,2011-01-31,2,0.3,12
слой 0.30 (только dev_spike),HXL0968,2010-10-25,2,0.3,12
слой 0.30 (только dev_spike),HXL0968,2010-10-20,2,0.3,12
слой 0.30 (только dev_spike),HXL0968,2010-10-14,2,0.3,12
слой 0.30 (только dev_spike),HXL0968,2010-10-11,2,0.3,12
слой 0.30 (только dev_spike),DRR0162,2010-12-21,2,0.3,12
слой 0.30 (только dev_spike),CQW0652,2011-04-07,2,0.3,12
слой 0.30 (только dev_spike),CQW0652,2011-04-06,2,0.3,12
слой 0.30 (только dev_spike),CQW0652,2011-03-28,2,0.3,12
слой 0.30 (только dev_spike),CEJ0109,2011-03-21,2,0.3,12
слой 0.30 (только dev_spike),CCL0068,2011-02-17,2,0.3,12
слой 0.30 (только dev_spike),CCL0068,2011-02-11,2,0.3,12
слой 0.30 (только dev_spike),CCL0068,2011-02-07,2,0.3,12
слой 0.30 (только dev_spike),CCL0068,2011-02-04,2,0.3,12
слой 0.30 (только dev_spike),AKR0057,2010-11-15,2,0.3,12
слой 0.30 (только dev_spike),AKR0057,2010-11-11,2,0.3,12
device tau=0.30,TNM0961,2010-11-16,2,0.3,18
device tau=0.30,DRR0162,2010-12-28,2,0.3,18
device tau=0.30,VSS0154,2010-10-13,2,0.3,16
device tau=0.30,IUB0565,2010-11-22,2,0.3,16
device tau=0.30,FTM0406,2010-12-01,1,0.65,16
device tau=0.30,FSC0601,2011-03-03,2,0.3,16
device tau=0.30,DRR0162,2010-12-13,2,0.3,16
device tau=0.30,AKR0057,2010-11-18,2,0.3,16
device tau=0.30,VSS0154,2010-10-22,2,0.95,14
device tau=0.30,TNM0961,2010-12-09,2,0.3,14
device tau=0.30,TNM0961,2010-12-01,2,0.3,14
device tau=0.30,NWT0098,2011-03-23,2,0.3,14
device tau=0.30,MDH0580,2011-02-18,2,0.3,14
device tau=0.30,MDH0580,2011-02-03,2,0.95,14
device tau=0.30,KRL0501,2011-01-06,2,0.3,14
device tau=0.30,KRL0501,2011-01-05,2,0.3,14
device tau=0.30,KRL0501,2010-12-22,2,0.3,14
device tau=0.30,JRG0207,2011-01-20,1,0.65,14
device tau=0.30,JJM0203,2010-10-19,2,0.3,14
device tau=0.30,JJM0203,2010-10-04,2,0.3,14
device tau=0.30,IUB0565,2010-11-30,2,0.3,14
device tau=0.30,IKR0401,2011-01-25,2,0.3,14
device tau=0.30,HXL0968,2010-10-28,2,0.3,14
device tau=0.30,HXL0968,2010-10-15,2,0.3,14
device tau=0.30,HXL0968,2010-10-08,2,0.3,14
device tau=0.30,HXL0968,2010-10-06,2,0.3,14
device tau=0.30,HBO0413,2011-04-08,2,0.3,14
device tau=0.30,HBO0413,2011-03-24,2,0.3,14
device tau=0.30,HBO0413,2011-03-22,2,0.3,14
device tau=0.30,HBO0413,2011-03-16,2,0.3,14
device tau=0.30,HBO0413,2011-03-14,2,0.3,14
device tau=0.30,FSC0601,2011-03-09,2,0.3,14
device tau=0.30,FSC0601,2011-03-07,2,0.3,14
device tau=0.30,DRR0162,2011-01-04,2,0.3,14
device tau=0.30,DRR0162,2010-12-29,2,0.3,14
device tau=0.30,DRR0162,2010-12-16,2,0.3,14
device tau=0.30,CQW0652,2011-04-14,2,0.3,14
device tau=0.30,CEJ0109,2011-04-01,2,0.3,14
device tau=0.30,CEJ0109,2011-03-22,2,0.3,14
device tau=0.30,CCL0068,2011-02-08,2,0.3,14
device tau=0.30,CCL0068,2011-01-24,2,0.3,14
device tau=0.30,AKR0057,2010-11-29,2,0.3,14
device tau=0.30,AKR0057,2010-11-16,2,0.3,14
device tau=0.30,AKR0057,2010-11-12,2,0.3,14
device tau=0.30,AKR0057,2010-11-01,2,0.3,14
device tau=0.30,ABC0174,2010-12-21,2,0.3,14
device tau=0.30,ABC0174,2010-12-06,2,0.3,14
device tau=0.30,VSS0154,2010-10-29,2,0.3,12
device tau=0.30,VSS0154,2010-10-05,2,0.3,12
device tau=0.30,TNM0961,2010-12-02,2,0.3,12
device tau=0.30,TNM0961,2010-11-22,2,0.3,12
device tau=0.30,NWT0098,2011-04-01,2,0.3,12
device tau=0.30,NWT0098,2011-03-25,2,0.3,12
device tau=0.30,NWT0098,2011-03-16,2,0.3,12
device tau=0.30,MDH0580,2011-02-28,2,0.3,12
device tau=0.30,MDH0580,2011-02-17,2,0.3,12
device tau=0.30,MDH0580,2011-02-08,2,0.3,12
device tau=0.30,KRL0501,2011-01-19,2,0.3,12
device tau=0.30,KRL0501,2010-12-30,2,0.3,12
device tau=0.30,KRL0501,2010-12-27,2,0.3,12
device tau=0.30,IKR0401,2011-02-07,2,0.3,12
device tau=0.30,IKR0401,2011-02-03,2,0.3,12
device tau=0.30,IKR0401,2011-02-02,2,0.3,12
device tau=0.30,IKR0401,2011-01-31,2,0.3,12
device tau=0.30,HXL0968,2010-10-25,2,0.3,12
device tau=0.30,HXL0968,2010-10-20,2,0.3,12
device tau=0.30,HXL0968,2010-10-14,2,0.3,12
device tau=0.30,HXL0968,2010-10-11,2,0.3,12
device tau=0.30,EDB0714,2010-11-22,2,0.65,12
device tau=0.30,DRR0162,2010-12-21,2,0.3,12
device tau=0.30,CQW0652,2011-04-07,2,0.3,12
device tau=0.30,CQW0652,2011-04-06,2,0.3,12
device tau=0.30,CQW0652,2011-03-28,2,0.3,12
device tau=0.30,CEJ0109,2011-03-21,2,0.3,12
device tau=0.30,CCL0068,2011-02-21,2,0.95,12
device tau=0.30,CCL0068,2011-02-18,2,0.95,12
device tau=0.30,CCL0068,2011-02-17,2,0.3,12
device tau=0.30,CCL0068,2011-02-11,2,0.3,12
device tau=0.30,CCL0068,2011-02-10,2,0.95,12
device tau=0.30,CCL0068,2011-02-07,2,0.3,12
device tau=0.30,CCL0068,2011-02-04,2,0.3,12
device tau=0.30,AKR0057,2010-11-15,2,0.3,12
device tau=0.30,AKR0057,2010-11-11,2,0.3,12
device tau=0.30,MDH0580,2011-02-01,2,0.65,10
device tau=0.30,FMG0527,2011-01-07,1,0.65,10
device tau=0.30,CCL0068,2011-02-01,2,0.65,10
device tau=0.30,MDH0580,2011-02-02,2,0.65,8
device tau=0.30,EDB0714,2010-12-01,2,0.65,8
device tau=0.30,BTL0226,2010-10-06,1,0.65,8
device tau=0.30,HBO0413,2011-02-14,2,0.65,7
device tau=0.30,HBO0413,2011-03-17,2,0.65,6
device tau=0.30,WDD0366,2011-02-28,1,0.65,4
device tau=0.30,MSO0222,2010-12-09,3,0.65,4
device tau=0.30,MDH0580,2011-01-07,2,0.65,4
device tau=0.30,JLM0364,2011-04-28,3,0.65,4
device tau=0.30,EHD0584,2010-10-07,1,0.65,4
device tau=0.30,BTL0226,2010-10-08,1,0.65,4
device tau=0.30,WDD0366,2011-03-02,1,0.65,2
device tau=0.30,WDD0366,2011-02-24,1,0.65,2
device tau=0.30,TAP0551,2010-10-29,1,0.65,2
device tau=0.30,TAP0551,2010-10-23,1,0.65,2
device tau=0.30,RGG0064,2010-10-27,1,0.65,2
device tau=0.30,RGG0064,2010-10-22,1,0.65,2
device tau=0.30,RGG0064,2010-10-20,1,0.65,2
device tau=0.30,PPF0435,2011-02-09,1,0.65,2
device tau=0.30,MYD0978,2010-12-18,1,0.65,2
device tau=0.30,MYD0978,2010-12-15,1,0.65,2
device tau=0.30,MYD0978,2010-12-13,1,0.65,2
device tau=0.30,MAR0955,2011-02-11,1,0.65,2
device tau=0.30,MAR0955,2011-02-09,1,0.65,2
device tau=0.30,MAR0955,2011-02-08,1,0.65,2
device tau=0.30,KLH0596,2011-02-12,1,0.65,2
device tau=0.30,JRG0207,2011-01-25,1,0.65,2
device tau=0.30,JRG0207,2011-01-19,1,0.65,2
device tau=0.30,HJB0742,2010-11-25,1,0.65,2
device tau=0.30,HJB0742,2010-11-23,1,0.65,2
device tau=0.30,HJB0742,2010-11-19,1,0.65,2
device tau=0.30,GHL0460,2010-11-09,1,0.65,2
device tau=0.30,FTM0406,2010-12-02,1,0.65,2
device tau=0.30,FTM0406,2010-11-25,1,0.65,2
device tau=0.30,FMG0527,2011-01-11,1,0.65,2
device tau=0.30,FMG0527,2011-01-05,1,0.65,2
device tau=0.30,EHD0584,2010-10-08,1,0.65,2
device tau=0.30,EHD0584,2010-10-02,1,0.65,2
device tau=0.30,DCH0843,2011-02-04,1,0.65,2
device tau=0.30,BTL0226,2010-10-14,1,0.65,2
device tau=0.30,BTL0226,2010-10-12,1,0.65,2
device tau=0.30,AAM0658,2010-10-29,1,0.65,2
device tau=0.30,AAM0658,2010-10-27,1,0.65,2
device tau=0.30,AAM0658,2010-10-23,1,0.65,2
device tau=0.65,FTM0406,2010-12-01,1,0.65,16
device tau=0.65,VSS0154,2010-10-22,2,0.95,14
device tau=0.65,MDH0580,2011-02-03,2,0.95,14
device tau=0.65,JRG0207,2011-01-20,1,0.65,14
device tau=0.65,EDB0714,2010-11-22,2,0.65,12
device tau=0.65,CCL0068,2011-02-21,2,0.95,12
device tau=0.65,CCL0068,2011-02-18,2,0.95,12
device tau=0.65,CCL0068,2011-02-10,2,0.95,12
device tau=0.65,MDH0580,2011-02-01,2,0.65,10
device tau=0.65,FMG0527,2011-01-07,1,0.65,10
device tau=0.65,CCL0068,2011-02-01,2,0.65,10
device tau=0.65,MDH0580,2011-02-02,2,0.65,8
device tau=0.65,EDB0714,2010-12-01,2,0.65,8
device tau=0.65,BTL0226,2010-10-06,1,0.65,8
device tau=0.65,HBO0413,2011-02-14,2,0.65,7
device tau=0.65,HBO0413,2011-03-17,2,0.65,6
device tau=0.65,WDD0366,2011-02-28,1,0.65,4
device tau=0.65,MSO0222,2010-12-09,3,0.65,4
device tau=0.65,MDH0580,2011-01-07,2,0.65,4
device tau=0.65,JLM0364,2011-04-28,3,0.65,4
device tau=0.65,EHD0584,2010-10-07,1,0.65,4
device tau=0.65,BTL0226,2010-10-08,1,0.65,4
device tau=0.65,WDD0366,2011-03-02,1,0.65,2
device tau=0.65,WDD0366,2011-02-24,1,0.65,2
device tau=0.65,TAP0551,2010-10-29,1,0.65,2
device tau=0.65,TAP0551,2010-10-23,1,0.65,2
device tau=0.65,RGG0064,2010-10-27,1,0.65,2
device tau=0.65,RGG0064,2010-10-22,1,0.65,2
device tau=0.65,RGG0064,2010-10-20,1,0.65,2
device tau=0.65,PPF0435,2011-02-09,1,0.65,2
device tau=0.65,MYD0978,2010-12-18,1,0.65,2
device tau=0.65,MYD0978,2010-12-15,1,0.65,2
device tau=0.65,MYD0978,2010-12-13,1,0.65,2
device tau=0.65,MAR0955,2011-02-11,1,0.65,2
device tau=0.65,MAR0955,2011-02-09,1,0.65,2
device tau=0.65,MAR0955,2011-02-08,1,0.65,2
device tau=0.65,KLH0596,2011-02-12,1,0.65,2
device tau=0.65,JRG0207,2011-01-25,1,0.65,2
device tau=0.65,JRG0207,2011-01-19,1,0.65,2
device tau=0.65,HJB0742,2010-11-25,1,0.65,2
device tau=0.65,HJB0742,2010-11-23,1,0.65,2
device tau=0.65,HJB0742,2010-11-19,1,0.65,2
device tau=0.65,GHL0460,2010-11-09,1,0.65,2
device tau=0.65,FTM0406,2010-12-02,1,0.65,2
device tau=0.65,FTM0406,2010-11-25,1,0.65,2
device tau=0.65,FMG0527,2011-01-11,1,0.65,2
device tau=0.65,FMG0527,2011-01-05,1,0.65,2
device tau=0.65,EHD0584,2010-10-08,1,0.65,2
device tau=0.65,EHD0584,2010-10-02,1,0.65,2
device tau=0.65,DCH0843,2011-02-04,1,0.65,2
device tau=0.65,BTL0226,2010-10-14,1,0.65,2
device tau=0.65,BTL0226,2010-10-12,1,0.65,2
device tau=0.65,AAM0658,2010-10-29,1,0.65,2
device tau=0.65,AAM0658,2010-10-27,1,0.65,2
device tau=0.65,AAM0658,2010-10-23,1,0.65,2
device tau=0.95,VSS0154,2010-10-22,2,0.95,14
device tau=0.95,MDH0580,2011-02-03,2,0.95,14
device tau=0.95,CCL0068,2011-02-21,2,0.95,12
device tau=0.95,CCL0068,2011-02-18,2,0.95,12
device tau=0.95,CCL0068,2011-02-10,2,0.95,12
